listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
921713,서울특별시 강남구 논현동,37.5100483423,127.0225938106,가구/가전,월세,0,40000000,20000000,1250000,250000,19.83,1,T,3120185,11680521,388874.5,478718.0,397097.625,0,5,0,0,152.2531594251204,79.99332583618806,10,1,1.0,0,4,3,35,1500000,0.2800210451583458,65029609.09090909,1.0,9.843260188087775,15.0,24.843260188087775,0.9405287551864233,95.38291682706952,34
921771,서울특별시 강남구 논현동,37.5095617494,127.0228560653,중식,월세,0,40000000,11000000,1100000,0,59.0,1,T,3120185,11680521,388874.5,478718.0,397097.625,0,4,0,0,210.49143710266944,47.10582185427149,13,1,1.0,0,4,2,32,1100000,0.20534876644945357,65964545.45454545,1.0,9.885057471264368,15.0,24.885057471264368,0.9377246646119269,95.2144073171589,44
913606,서울특별시 강남구 논현동,37.5121487196,127.0262908114,기타,월세,0,0,20000000,1700000,200000,49.59,3,T,3120191,11680521,378147.0,391751.0,381067.3125,0,2,0,0,422.0706894405256,251.09666919359626,6,1,0.6,0,0,1,25,1900000,0.354693323867238,32577827.272727273,1.0,9.801462904911181,15.0,24.801462904911183,0.8104909039992861,85.58828070485765,497
921795,서울특별시 강남구 논현동,37.5153849269,127.0398700105,사무실,월세,0,0,100000000,12000000,0,214.9,1,T,3120203,11680531,316236.0,342827.25,274934.6875,2,0,0,0,237.0464637549417,156.38025967265938,15,1,1.0,0,1,1,22,12000000,2.4380182335712224,154506454.54545456,0.7766665823316589,8.635336429258588,11.649998734974883,20.285335164233473,0.8616751665607278,84.91097265628807,548
921792,서울특별시 강남구 논현동,37.5059857483,127.0267319967,기타,월세,0,0,800000000,50000000,5500000,915.7,6,T,3120187,11680521,589152.0,788268.0,560948.125,0,0,1,0,685.7063551754517,127.75069101048237,13,1,0.0,0,2,2,25,55500000,10.360778670858794,1032254818.1818182,0.11625036559418951,4.200626959247648,1.7437554839128426,5.944382443160491,0.6975776455437196,58.26270585893946,1279
862997,서울특별시 강남구 논현동,37.5083317844,127.0275200245,가구/가전,월세,0,10000000,20000000,2000000,10000,29.75,1,T,3110955,11680521,318800.0,380357.25,434233.75,0,0,1,0,604.7809840891665,332.3550296114159,1,1,1.0,0,0,3,23,2010000,0.37522820051218336,37545681.81818182,1.0,9.789968652037617,15.0,24.789968652037615,0.7916495967419689,84.16368840768527,588
655154,서울특별시 강남구 논현동,37.5073625573,127.0264067575,사무실,월세,0,0,20000000,4900000,400000,117.27,4,T,3120187,11680521,589152.0,788268.0,560948.125,0,0,1,0,597.8523315560043,259.0375759563489,9,1,0.3999999999999999,0,3,2,24,5300000,0.9894076928928218,49743936.36363636,1.0,9.446185997910137,15.0,24.446185997910135,0.7660078098555878,81.89677173707922,717
655161,서울특별시 강남구 논현동,37.5073625573,127.0264067575,사무실,월세,0,0,3300000,5600000,0,117.27,4,T,3120187,11680521,589152.0,788268.0,560948.125,0,0,1,0,597.8523315560043,259.0375759563489,9,1,0.3999999999999999,0,3,2,24,5600000,1.045411901924491,33043936.363636363,1.0,9.41483803552769,15.0,24.41483803552769,0.7660078098555878,81.86542377469678,718
921730,서울특별시 강남구 논현동,37.5122547309,127.034488924,기타,월세,0,0,30000000,2900000,300000,162.3,2,T,3110961,11680531,187742.25,204765.25,252216.625,0,2,0,0,343.93615212567545,155.11347122332253,7,1,0.8,0,0,5,18,3200000,0.6501381956189927,71165181.81818183,1.0,9.636089714468957,15.0,24.63608971446896,0.7323971739601148,79.56587776147757,810
921729,서울특별시 강남구 논현동,37.5128766449949,127.039533873431,양식/레스토랑,월세,0,50000000,15000000,1500000,0,63.57,1,T,3110970,11680531,50728.5,55023.25,53805.3125,0,0,1,0,426.40935783829804,278.11709809254904,1,1,1.0,0,0,0,14,1500000,0.3047522791964028,81123663.63636363,1.0,9.829417053657323,15.0,24.829417053657323,0.5003906292198104,62.3587142451431,1250
921726,서울특별시 강남구 논현동,37.5153849269,127.0398700105,사무실,월세,0,0,50000000,3000000,0,82.6,3,T,3120203,11680531,316236.0,342827.25,274934.6875,2,0,0,0,237.0464637549417,156.38025967265938,15,1,0.6,0,1,1,22,3000000,0.6095045583928056,70950363.63636364,1.0,9.658834107314647,15.0,24.658834107314647,0.7764899813755427,82.89558271048034,658
921646,서울특별시 강남구 논현동,37.5146271521,127.0309564067,기타소매,월세,0,0,150000000,12000000,0,289.31,1,T,3120191,11680531,378147.0,391751.0,381067.3125,0,1,0,0,64.73817670732792,71.70967049069901,12,1,1.0,0,1,1,23,12000000,2.4380182335712224,223379536.36363637,0.5372022968328384,8.635336429258588,8.058034452492576,16.693370881751164,0.940113478262827,87.20188175146319,396
